"Community","Members","Ideas","Votes","Comments","URL"
"A Capital Idea","298","95","563","70","http://capgaz.ideascale.com"
"A-Team So@t","6","23","61","17","http://agileteamsoat.ideascale.com"
"AGILEMinds Community","32","73","145","17","http://agileminds.ideascale.com"
"ASAE13","78","46","900","26","http://asae13.ideascale.com"
"ASU Libraries Come Together Retreat Ideas Site","59","30","496","21","http://asucometogether.ideascale.com"
"Accure Technologies","18","22","15","29","http://accuretech.ideascale.com"
"Activism Ideas for the 99%","8","38","9","5","http://99percent.ideascale.com"
"Activities and Proposal","31","21","34","22","http://assembly09.ideascale.com"
"Acunetix Web Vulnerability Scanner feature requests","160","111","542","88","http://acunetixwvs.ideascale.com"
"Adobe Captivate 6 Ideas","322","286","3231","269","http://captivate6ideas.ideascale.com"
"Agile Play Ground","34","28","63","28","http://agileplayground.ideascale.com"
"Agile Wpg","29","21","109","7","http://agilewpg.ideascale.com"
"Alaska Department of Transportation & Public Facilities Research Ideas Collaboration Website","52","25","70","20","http://alaskaresearchideas.ideascale.com"
"Alberta Co-op Cafe","54","47","73","15","http://albertacoopcafe.ideascale.com"
"Album Suggestions","51","174","721","9","http://thelongplayer.ideascale.com"
"Alkosto eCommerce","42","38","74","12","http://alkosto.ideascale.com"
"Alpha Software Features Wishlist","161","218","1665","360","http://alphasoftware.ideascale.com"
"Alternativa Geologica per la Puglia","31","20","178","29","http://alternativageologica.ideascale.com"
"Amber Sound 107.2FM Ideas Factory","140","39","240","44","http://ambersoundfm.ideascale.com"
"Ambientes Colaborativos","45","27","117","8","http://ambientescolaborativos.ideascale.com"
"An Online Conversation with our School Communities","369","194","8785","1676","http://rdcrs.ideascale.com"
"Analytics Link Wish List","13","20","19","11","http://eal.ideascale.com"
"AntiCor Tunisia Ideas","173","81","391","58","http://anticor.ideascale.com"
"Asia Insight Office Ideation Team","10","43","37","7","http://aioffice.ideascale.com"
"Asli murah Grosir","31","323","298","28","http://aslimurahgrosir.ideascale.com"
"Atomic Learning Think Tank","31","23","61","6","http://atomic.ideascale.com"
"AwardPro User Group","19","65","148","29","http://awardpro.ideascale.com"
"archinool1","6","23","16","12","http://archinool1.ideascale.com"
"BEMODEL","78","34","23","38","http://bemodel.ideascale.com"
"BI Suggestions Box","21","39","14","19","http://bi.ideascale.com"
"BarCamp Fond du Lac","36","29","239","25","http://barcampfdl.ideascale.com"
"BarCampMelbourne2009","236","23","61","52","http://barcampmelbourne2009.ideascale.com"
"Bellevue's Best Ideas","346","126","1770","164","http://bellevuesbestideas.ideascale.com"
"Bewerbermanagement","641","725","12000","540","http://umantis-labs.bm.ideascale.com"
"Beyond WebCT Requirements","49","23","147","7","http://beyondwebct.ideascale.com"
"Birkbeck library e-services","11","61","25","157","http://e-services_lib-bbk.ideascale.com"
"BizActions Brain-Trust","23","28","94","19","http://bizactions.ideascale.com"
"Blue Carpet","13","123","66","7","http://bluecarpet.ideascale.com"
"Blue Link Elite Wishlist/Feedback","24","119","304","81","http://bluelink.ideascale.com"
"Bob & Terry's IdeaScale Community","24","25","82","10","http://bobandterrys.ideascale.com"
"Boronia Park School Association Wish List","10","39","55","8","http://boroniaparkswishlist.ideascale.com"
"Buddyforums","20","22","53","9","http://kanecorp.ideascale.com"
"Building an Information Technology Vision","27","22","68","10","http://ivcctechnology.ideascale.com"
"bloggerid Mandiri","44","57","54","40","http://bloggerid.ideascale.com"
"CEP 416 Tech Idea Zone","131","85","192","146","http://cep416.ideascale.com"
"CERTAIN","61","57","149","6","http://becertain.ideascale.com"
"CPD Sustainable Economy Ideas Index","14","28","10","15","http://sustainableeconomy.ideascale.com"
"CTS Town Square","12","20","57","19","http://ctstownsquare.ideascale.com"
